code,product_name,brands,ingredients_text,allergens,allergens_tags,traces,traces_tags,countries
8901491100519,Kurkure,Kurkure,"Cereal Products (66%) (Rice Meal (43.5%), Corn Meal (23%)), Edible Vegetable Oil (Palmolein),*Seasoning (~Spices and Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour(160c), Maltodextrin) , Gram Meal (0.5%).",,,,,"France,India,Nepal,Spain,Canada"
09141209,Bourn Vita 500Gram Pauch,Lu,"glucose syrup, bulking agent (polydextrose), starch, humectant (sorbitol syrup), gelatine, sugar, acids (malic acid, acetic acid), concentrated fruit juices' (1 %) (apple, lime, orange, lemon, strawberry, blackcurrant, raspberry), colours (anthocyanins, vegetable carbon, paprika extract, lutein, curcumin), coconut oil, flavourings, glazing agent (carnauba wa 'equivalent to 6.9% fruit juice.",,"en:apple,en:orange",,,"India, Romania, United Kingdom, United States, en:bulgaria"
0716270001660,Ginger Crystallized In Dark Chocolate,Chocolove,"dark chocolate (cocoa liquor*, sugar, cocoa butter*, soy lecithin, vanilla), crystallized ginger (ginger, sugar)",en:soybeans,en:soybeans,,,"United States, World, en:india"
1234567890128,Chocolat en poudre,Munch,Ingridients:Poudre de cacao - sucre - lait entier (faible teneur en matière grasse) - Emulsifiants,en:milk,en:milk,,,"France, Germany, Morocco, Spain, en:india"
5000171010025,Wild Pacific Red Salmon,John West,"red salmon 99 %, salt.",en:fish,en:fish,,,"Australia, France, Morocco, New Zealand, United Kingdom, en:india"
0020357122682,Milk,Mestla,,,,,,"Germany, en:india"
8901491101837,Lays Classics Salted 20rs,Lay's,"Potato, Edible Vegetable Oil (Palmolein Oil, Rice Bran Oil), Salt (1%).",,,,,Inde
7622201756697,Oreo,Cadbury,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%), Leavening Agents (500(i), 503(ii)), Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances. Allergen Information: Contains Wheat, Sulphite, Soy. May Contain Milk and Barley.","en:gluten,en:soybeans,en:sulphur-dioxide-and-sulphites","en:gluten,en:soybeans,en:sulphur-dioxide-and-sulphites","en:gluten,en:milk","en:gluten,en:milk",India
8901764012273,Coca Cola Coke Brand 750ml,Coca-Cola,,,,,,India
8901491361026,Masala Munch,"Kurkure,PepsiCo","Cereal Products(61%)(Rice Meal(42%),Corn Meal(19%),Edible vegetable oil(palmolein,sesame oil),*Seasoning(~spices and condiments,iodised salt,maltodextrin,sugar,black salt,acidity regulators(330,296,334),tomato powder,hydrolysed soy protein,flavour(natiral and nature identitical flavouring substances),Dxtrose,emulsfier(414),milk solids,edibile starch,flavour enhancers(627&631)),Gram meal(3%)
*as flavouring agent . ~contains onion and garlic","en:milk,en:nuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites","en:milk,en:nuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites",,,India
8901030921667,kissan,Kissan,"WATER, TOMATO PASTE* (28%), SUGAR, IODISED SALT, ACIDITY REGULATOR - E260, STABILIZERS - E1422, E415, PRESERVATIVE - E211, ONION POWDER, GARLIC POWDER, SPICES AND CONDIMENTS.",en:none,en:none,en:garlic,en:garlic,India
8901030902932,Fresh Tomato Ketchup,Kissan,"WATER, TOMATO PASTE (28%), SUGAR, IODISED SALT ACIDITY REGULATOR-E260, STABILIZERS-E1422, E415, PRESERVATIVE-E211, ONION POWDER, GARLIC POWDER, SPICES AND CONDIMENTS.",,,,,India
8901764092305,Maaza Original 1.2ltr,HINDUSTAN COCA-COLA BEVERAGES PVT LTD.,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATOR (330), ANTIOXIDANT(300) AND PRESERVATIVE (202) CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (110) AND ADDED MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",en:Fruit,en:fruit,,,India
8901063139374,BOURBON,Britannia,"EDIBLE MAIZI CH, 122, 110, 13 & 102), COCOA SOLIDS (2.7%), MILK SOUDS, RAISING AGENTS (500) & 503(1) NATURE IDENTICAL & ARTIFICIAL (VANILU CHOCOLATE MILK & MILKY COCOA) FLAVOUING SUBSTANCES, EMULSIFIERS [471 & 322(1), M.K CHOCOLATE (0.1%) [EMULSIFIER (322(1) AD IODSED SALT.",en:soybeans,en:soybeans,,,India
8901030897542,kissan fresh tomato,Kissan,"water, tomato paste (28%), sugar, iodised salt, acidity regulator-E260, stabilizers - E1422, E415, Preservetive - E211, Onion power, garlic powder, spices and condiments.",,,,,India
8901030921797,kissan fresh tomato,"Kissan,Unilever","water, tomato paste (28%), sugar, iodised salt, acidity regulator - E260, stabilizers - E1422, E415, preservative - E211, onion powder, garlic powder, spices, condiments",,,,,India
8901262200196,Amul Masti Spiced Buttermilk 200ml,Amul,"Milk Solids, Common Salt, Spices & Condiments (1%), E460(i), Water",,en:milk,,,भारत
8901719125478,Parle-G gold 75g,Parle,"REFINED WHEAT FLOUR (MAIDA) (68%), SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP* [SUGAR, CITRIC ACID], IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)], MILK SOLIDS, FLOUR TREATMENT AGENT [1101 (ii)] AND EMULSIFIER OF VEGETABLE ORIGIN [472e] CONTAINS ADDED FLAVOUR (ARTIFICIAL FLAVOURING SUBSTANCES VANILLA) (D-GLUCOSE, LEVULOSE) CONTAINS: WHEAT, MILK",,"en:gluten,en:milk",,,en:India
8901491101844,Lay's Potato Chips,Lay's,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)",,,"en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans","en:gluten,en:milk,en:nuts,en:peanuts,en:soybeans","India,United States,Canada"
9300633929169,Chunk Light Tuna,Woolworths,,,,,,"Canada, en:india"
8901719128462,Parle-G,"Parle, Britannia","REFINED WHEAT FLOUR (MAIDA ) - 68%, SUGAR, REFINED PALM OIL, INVERT SUGAR SYRUP# [SUGAR, CITRIC ACID], IODISED SALT, RAISING AGENTS [503 (ii), 500 (ii)], MILK SOLIDS, FLOUR TREATMENT AGENT [1101 (i)] AND EMULSIFIER OF VEGETABLE ORIGIN [472e], CONTAINS ADDED FLAVOUR ( ARTIFICIAL FLAVOURING SUBSTANCES - VANILLA) (D-GLUCOSE, LEVULOSE)",en:gluten,"en:gluten,en:milk",,,"United States,India"
5000232192202,FOOD,Princes,"Mackerel [Fish], Sunflower Oil, Water, Salt.
 OCEAN OF CATCH: Atlantic, Northeast)",en:fish,en:fish,,,"India, United Kingdom, en:france"
8901764032271,Sprite 750ml,coca cola,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(i)), PRESERVATIVE(211), SWEETENER (960), FLAVOURS (NATURAL FLAVORING SUBSTANCES)",,,,,India
8901491101813,Lays 20rs,"PepsiCo,Lay's","Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), *Seasoning (Sugar, Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551))",,en:milk,,,Inde
8901262010016,Amul Pasteurized Butter,Amul,"Butter, common salt. CONTAINS PERMITTED NATURAL COLOUR [ANNATTO]",en:milk,en:milk,,,"Bahrain,Hong Kong,India,Kuwait,Malaysia,New Zealand,Oman,Qatar,Singapore,Sri Lanka,United Arab Emirates,United States"
8901764032912,Sprite,sprite,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",,,,,Inde
3948764012273,Coca cola Soft Drink 750ml,Coca cola,"Carbonated water ,Sugar, Acidity Regulator (338), Caffeine (8.7 mg/100g), Colour (150d), Flavours (Natural Flavoring substances)",,,,,India
8901453000024,Rooh Afza,hamdard,"Sugar syrup 87.8%, {Sugar, Water, Acidity regulator (INS 330)} Distillate of (Nilofer, Dhaniya, Khas, Gulab, Kasni, Chhareela, Gaozaban, Pudina, Sandal Safaid, Gajar, Munakka) 4.5% Pineapple Juice 2.5%, Orange Juice 1.0%, preservative (INS 211), Distillate of Kewada and Gulab used as natural flavoring agent",,,,,India
8904043901015,Tata Salt,Tata,"Edible Common Salt, Potassium Iodate (2mg) and Anticaking Agent (INS 536)",,,,,India
7622202398698,Cadbury Dairy Milk,Cadbury,,,,,,en:India
8901764092206,Maaza Original 600ml,Maaza,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATOR (330), ANTIOXIDANT(300) AND PRESERVATIVE (202). CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (110) AND ADDED MANGO FLAVOURS NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",,,,,"France,India"
8901595862962,Ching's Schezwan Chutney,Ching's,"Water, Sunflower Oil, Sugar, Ginger, Salt, Chilli, Garlic, Onion, Corn Starch, Flavour Enhancer (E635), Thickener (E1422), Acidity Regulator (E260), Spices (Whte Pepper, Schezwan Pepper), Preservatives (E202, E211). Celery, Soy Sauce Powder (Soybean, Wheat, Salt).",,"en:celery,en:gluten,en:soybeans","en:gluten,en:milk,en:mustard,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans","en:gluten,en:milk,en:mustard,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans",en:india
8901764042270,Thumbs Up 750ml,Coca Cola Company,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.3 mg/100 g), COLOUR (1506) FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVOURING SUBSTANCES). &quot;CONTAINS CAFFEINE&quot;",,,,,"India,United States"
8901764082405,Kinley Mineral Water 1ltr,Kinley,"Treated Water, Salts of Sodium and Magnesium",,,,,India
0073935942400,"Manner - Chocolate Cream Filled Wafers, 2.5oz (72g)",Manner,Test,,,,,India
0850006000012,Yaourt nature sucres U,,,,,,,"France,Inde"
8906017290040,Bisleri 1ltr MADE IN INDIA,Bisleri,"TREATED WATER, MINERALS (CALCIUM CHLORIDE, MAGNESIUM SULPHATE, POTASSIUM BICARBONATE).",,,,,"France, en:india"
8901764042911,Thums up,Thums up,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.1 mg/100 g), SWEETENER (960) COLOUR (150 d), FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVORING SUBSTANCES).",,,,,India
3948764042270,Thumbs Up 750ml pet,Thumps up,,,,,,en:India
8901058000269,Maggi,Maggi,"Noodles: Refined wheat flour (Maida), Paim oil, lodized salt, Wheat gluten, Thickeners (508&412), Acidity regulators (501 (i) & 500 (i) and Humectant (451 (i)). Masala *TASTEMAKER®: Mixed spices (25.6%) (Onion powder Coriander powder, Turmerie newder, Red chilli powder, Garlic powder Cumin powder, Aniseed powder, powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, lodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Contains Wheat & Nut. May Contains Milk, Mustard, Oats And Soy. #Lets toMAGGI",,"en:gluten,en:milk,en:mustard,en:soybeans",,,"Mali,India"
8901764012914,Coca-Cola,The Coca-Cola Company,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (338), CAFFEINE (8.7 mg/100 g), COLOUR (150d), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",,,,,India
8901233030548,Cadbury Dairy Milk,Mondelez,"Sugar, Milk Solids16%, Cocoa Butter, Cocoa Solids, Lactose, Emulsifiers 442, 476",en:milk,en:milk,en:Milk solids,en:milk,India
8901764032707,Sprite,Coca Cola,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330,331(ii)), PRESSERVATIVE (211) & SWEETENER (960).",,,,,India
8901764042300,Thums Up  (Coca-Cola),Coca-Cola,"CARBONATED WATER, SUGAR, ACIDITY REGULATOR (330 CAFFEINE (8.1 mg/100 g), SWEETENER (960), COLOUR (150 d), FLAVOURS NATURAL, NATURE-IDENTICAL & ARTIFICIAL (COLA) FLAVOURING SUBSTANCES).",,,,,India
8901063162426,Marie gold,Britannia,"REFINED WHEAT FLOUR (MAIDA) (73%), SUGAR, REFINED PALM OIL, INVERT SUGAR STRUP, MILK PRODUCTS [MILK SOLIDS & SWEETENED CONDENSED PARTLY SKIMMED MILK], RAISING AGENTS [503 (ii) & 500 (ii)], IODIZED SALT, NATURE IDENTICAL & ARTIFICIAL (MILK & VANILLA) FLAVOURING SUBSTANCES, EMULSIFIER (472e), CALCIUM SALT, DOUGH CONDITIONER (223), VITAMINS, FERROUS SALT, COLOUR (150D) AND POTASSIUN IODATE","en:gluten,en:milk,en:sulphur-dioxide-and-sulphites","en:gluten,en:milk,en:sulphur-dioxide-and-sulphites",,,India
8901063029255,Jimjam 57g (57),Britannia,"REFINED WHEAT FLOUR (MAIDA), SUGAR (24%), REFINED PALM OIL & INTERESTERIFIED VEGETABLE FAT, INVERT SUGAR SYRUP, DEXTROSE, MILK PRODUCTS (MILK SOLIDS & SWEETENED CONDENSED MILK), EDIBLE MAIZE STARCH, MALTODEXTRIN, FRUIT PRODUCTS (0.7%) (APPLE JUICE CONCENTRATE, BANANA POWDER & PLUM JUICE CONCENTRATE), IODISED SALT, EMULSIFIERS [322(i) & 471], RAISING AGENTS [503(ii) & 500(ii)], NATURE IDENTICAL AND ARTIFICIAL (MIXED FRUIT, VANILLA & BUTTER) FLAVOURING SUBSTANCES, ACIDITY REGULATORS (330 & 331), GELLING AGENT (440) AND COLOUR (122). (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SOYA. ydrate-73g, of which Total 31 Total Fat-19g/141 no unsaturated fatty acids-7.29 fss Lic. No. 10015 100120260N For Mfg unit address & Lic. No. read the last two characters of CWALIOR 474005, MADHYA PRADESH Lic. No. the &quot;Lot No. and see address panel. 06-1.8. MANGHARAM FOODS 01129",,"en:gluten,en:milk,en:soybeans",,,en:India
8904272600291,Storia 100% Tender Coconut Water 1L,Storia Foods & Beverages,Water and Coconut Water Concentrate (9.6%). CONTAINS PERMITTED CLASS II PRESERVATIVES (INS202),,,,,Inde
8901262010320,Amul Butter,AMUL,"Butter, iodized salt, natural colour (annatto)",en:milk,en:milk,,,India
8901491502030,Lay's American Style Cream & Onion Flavour,Lay's,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), 'Seasoning (Sugar, iodised Salt, Milk Solids, ^Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551)).Contains Onion ALLERGEN ADVICE: Contains _Soy_, _Milk_ May Contain _Sulphite_
'As flavouring agent ,^Contsins onion",,"en:milk,en:soybeans",,en:sulphur-dioxide-and-sulphites,भारत
8901491103800,Oats,Quaker,Rolled Oats Flakes,,,,,India
8901764032905,Sprite,"Sprite,Coca cola","CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(iii)), PRESERVATIVE (211), SWEETENER (960), FLAVOURS (NATURAL FLAVOURING SUBSTANCES).",,,"en:gluten,en:milk","en:gluten,en:milk",India
8901047816208,Dal Makhani,Kohinoor,"Water, Black Gram Lentils (33.3%), Tomato (8.4%), Red Kidney Beans (4%), Sunflower Oil, Garlic, Salt, Ginger (0.6%), Cumin Powder, Garam Masala, Red Chilli powder, Fenugreek Leaves, Cinnamon, Cardamom, Bay leaf, Nutmeg Powder, Mace Powder",,,,,"India,United Kingdom"
8901764175091,Fruit drink,Maaza,"NGREDIENTS: WATER, MANGO PULP(11.5%), SUGAR, ACIDITY REGULATORS 030 33 STABILIZER (466), ANTIOXIDANT 300 ,SWEETENER (960), COLOUR (110), MANGO FLAVOURS NATURE-DENTICAL & ARTIFICIAL FLAVORING SUBSTANCES",,,,,en:India
8902080364589,Mountain Dew,PepsiCo,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331), FLAVOUR (NATURAL FLAVOURING SUBSTANCES), PRESERVATIVE (211), CAFFEINE (13 mg/100 g), STABILIZER (445), COLOUR (102)",,,,,India
3948764032912,Sprite,"Sprite, Coca-Cola",Sprite,,,,,en:India
8901058000306,Maggi noodles masala,Nestle,"Noodles: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412), Acidity regulators (501(i) & 500 (i)) and Humectant (451 (i)).

Masala *TASTEMAKER®: Mixed spices (25.6%) (Onion powder, Coriander powder, Turmeric powder, Red chilli powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Clove powder, Green cardamom powder & Nutmeg powder), Refined wheat flour (Maida), Hydrolysed groundnut protein, Sugar, Palm oil, Starch, Vodized salt, Thickener (508), Flavour enhancer (635), Toasted onion flakes, Acidity regulator (330), Colour (150d), Mineral and Wheat gluten. Contains Wheat & Nut.

May contains Milk, Mustard, Oats And Soy.",,"en:gluten,en:milk,en:mustard,en:soybeans",,,India
8901063142015,Nutri Choice,Britannia Digestive,"WHEAT FLOUR (63%), REFINED PALM OIL, SUGAR, WHEAT BRAN (4.7%), LIQUID GLUCOSE, MILK SOLIDS, MALTODEXTRIN, RAISING AGENTS (INS 500, INS 503), IODISED SALT, EMULSIFIERS (INS 322, INS 471, INS 472c), MALT EXTRACT AND DOUGH CONDITIONER (INS 223). CONTAINS WHEAT, MILK, SOYA, BARLEY AND SULPHITE","en:gluten,en:milk,en:soybeans,en:sulphur-dioxide-and-sulphites","en:gluten,en:milk,en:soybeans,en:sulphur-dioxide-and-sulphites",,,"France,India"
8901491366052,Puffcorn,,"Cereal Products (67%) (Corn Meal (53%). Rice Meal), Edible Vegetable Oil (Palmolein), ++Seasoning (Sugar, lodised Salt, Maltodextrin, &quot;Spices and Condiments, Milk Solids, Cheese, Salt Substitute (Potassium Chloride), Flavour (Natural and Nature Identical Flavouring Substances), Flavour Enhancers (627, 631), Acidity Regulators (296, 330), Emulsifying & Stabilising Agent (331 (iii), 471, 327), Gram Meal, Firming Agent (170(i)), lodised Salt. **As flavouring agent. ~Contains Onion and Garlic ALLERGEN ADVICE: Contains Soy, Milk, Wheat",,"en:gluten,en:milk,en:soybeans",,,en:IN
8901764061257,Diet Coke Can 250ml,Coke,"CARBONATED WATER, ACIDITY REGULATOR (338), SWEETENERS (951,950), PRESERVATIVE (211), CAFFEINE. CONTAINS PERMITTED NATURAL COLOUR (150d) AND ADDED FLAVOURS (NATURAL FLAVOURING SUBSTANCÉS).",,,,,India
3948764042911,thums up,thumsup,,,,,,India
3948764032271,Sprite,Coca Cola,"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331(1), PRESERVATIVE (211), SWEETENER (960), FLAVOURS (NATURAL FLAVORING SUBSTANCES).",,,,,Inde
8901030831690,kissan mixed fruit jam,kissan,"SUGAR, MIXED FRUIT PULP BLEND - 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP, PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE), ACIDITY REGULATOR E330, THICKENER E440, IODISED SALT, VITAMINS & MINERAL, PRESERVATIVE-E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR-E122.",,,,,India
8901491503037,American Style Cream & Onion 10rs,"Lay's,PepsiCo","Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), *Seasoning (Sugar, Iodised Sat, _Milk_ Solids, ~Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking agent (551)).
*As fiavouring agent. ~Contains Onion
ALLERGEN ADVICE: Contains _Soy_, _Milk_
May Contain _Sulphite_","en:milk,en:soybeans","en:milk,en:soybeans",en:sulphur-dioxide-and-sulphites,en:sulphur-dioxide-and-sulphites,India
8901491367219,kurkure,kurkure,"Cereal Products (67%) (Rice Meal (44%), Corn Meal (23%)), Edible Vegetable Oil (Rice Bran Oil, Sesame Oil), *Seasoning Spices & Condiments, lodised Salt, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Black Salt, Tomato Powder, Acidity Regulators (330, 296, 334), Colour (160c), Maltodextrin), Gram Meal (0.4%). As Flavouring Agent. &quot;Contains Onion and Garlic LERGEN ADVICE: Contains Sulphite.",,"en:sesame-seeds,en:sulphur-dioxide-and-sulphites",,,en:India
8906069403412,Chef's Special Tomato Ketchup,VEEBA,"Water, Tomato Paste (28.0%), Sugar, lodised Salt, Stabilizers (INS1422, INS415), Acidity Regulator (INS260), Spices and Condiments and Preservative (INS211).",,,,,India
8901063017627,Brit 50-50 maska chaska 40g (20),Britannia,"REFINED WHEAT FLOUR (MAIDA), REFINED PALM & PALMOLEIN OIL, SUGAR, LIQUID GLUCOSE, RAISING AGENTS [503(ii), 341(ii), 500(ii) & 450(i)], BUTTER (1.2%), BLACK SALT, MILK SOLIDS, DEHYDRATED VEGETABLE (CHIVES) (1%), IODISED SALT, NATURE IDENTICAL FLAVOURING SUBSTANCE, DOUGH CONDITIONER (223) AND IMPROVERS [1101(i)& XYLANASE]. (Numbers in brackets as per International Numbering System) CONTAINS WHEAT, MILK AND SULPHITE. STORE IN A COOL, HYGIENIC AND DRY PLACE. TRANSFER CONTENTS TO A CLEAN AIRTIGHT CONTAINER ONCE OPENED. JURUCTRIES LTD. 5/1 A HUNGERFORD",,"en:gluten,en:milk,en:sulphur-dioxide-and-sulphites",,,en:India
